# EnglishWordsRaw.txt — English word list, rebuilt 2026-08 from license-clean sources.
# Counts: hermitdave/FrequencyWords OpenSubtitles-2018 en_full (CC BY-SA 4.0),
# count >= 80, scaled so top ~1.2M. Inventory filter: English Wiktionary via
# Kaikki wiktextract (CC BY-SA 4.0) membership — drops subtitle OCR junk and typos.
# POS + CaseType: spaCy (MIT) Penn tags + MID-SENTENCE case shares over a 3M-sentence
# English Wikipedia sample (CC BY-SA 4.0, 2026-08 dump); register correction and the
# >=5%-representation guard mirror tools/case-seeds (see README there). CaseType from
# title share s_eff: <0.10 LO, <0.50 LF, <0.90 TF, >=0.90 TO; ALL-CAPS>=60% AC;
# mixed>=50% OC (surface from Wiktionary). Curated rows (abbreviations, extensions,
# contractions, I-forms) carried over from the previous hand-revised list.
# Fields: word;rawFreq;CASETYPE,POS1[,POS2[,POS3]]
answer;5589;LO,NN,VB
gun;5547;LO,NN
boys;5527;LF,NNS,NNPS
line;5520;LF,NN,NNP
send;5502;LO,VB
news;5486;LF,NN,NNP
stupid;5481;LO,JJ,NNP
bed;5479;LO,NN
hurry;5427;LO,NN,VB
full;5408;LO,JJ
months;5408;LO,NNS
save;5394;LO,VB
sometimes;5368;LO,RB
become;5365;LO,VB,VBN
along;5345;LO,IN
hate;5342;LO,NN,VBP,VB
food;5321;LF,NN,NNP
outside;5304;LO,IN,RB
light;5280;LF,NN,JJ,NNP
needs;5269;LO,NNS,VBZ
dog;5243;LF,NN,NNP
country;5241;LF,NN
clear;5241;LO,JJ
order;5229;LF,NN,NNP
em;5212;LO,NNP,NN,PRP
fact;5210;LO,NN
Lord;5206;TF,NNP
captain;5205;LF,NN,NNP
six;5173;LO,JJ
hot;5169;LF,NNP,JJ
funny;5166;LO,JJ,NNP
black;5157;LF,JJ,NNP
alive;5120;LO,JJ
pick;5115;LO,NN,VB
feeling;5088;LO,VBG,NN
living;5067;LO,VBG,NN
cause;5055;LO,NN,VB
ahead;5014;LO,RB
lose;4948;LO,VB
king;4928;LF,NNP,NN
plan;4924;LF,NN,NNP
dinner;4918;LO,NN
sighs;4894;LO,NNP,NNS,VBZ
sort;4888;LO,NN
leaving;4879;LO,VBG
running;4876;LO,VBG
boss;4866;LO,NN,NNP
alright;4862;LO,JJ,NNP
promise;4832;LO,NN
taken;4804;LO,VBN
safe;4756;LO,JJ
Ma;4753;TO,NNP
book;4751;LF,NN,NNP
sent;4750;LO,VBN,VBD
white;4705;LF,JJ,NNP
hour;4701;LF,NN
anybody;4693;LO,NN
small;4682;LO,JJ
perfect;4678;LO,JJ,NNP
lives;4610;LO,NNS,VBZ
special;4600;LF,JJ,NNP
parents;4594;LO,NNS
John;4584;TO,NNP
himself;4575;LO,PRP
perhaps;4554;LO,RB
sounds;4549;LO,NNS,VBZ
serious;4534;LO,JJ
sick;4527;LO,JJ
company;4505;LF,NN,NNP
ha;4501;LO,UH,NNP
scared;4498;LO,JJ
uncle;4495;LO,NN,NNP
poor;4479;LO,JJ
red;4443;LF,NNP,JJ
past;4437;LO,JJ,NN,IN
Earth;4435;TF,NNP,NN
possible;4422;LO,JJ
shoot;4421;LO,VB,NN
touch;4412;LO,NN,VB,NNP
sound;4389;LF,NN,NNP
top;4389;LF,JJ,NN
ass;4377;LO,NN,NNP
laughs;4373;LO,NNS,NNP,VBZ
cannot;4332;LO,VBD,UH,NN
asking;4292;LO,VBG
win;4292;LO,NN,VB
glad;4287;LO,JJ,NNP
control;4284;LO,NN
hmm;4277;LO,NNP,NN,UH
human;4277;LF,JJ,NNP
drive;4270;LF,NN,VB,NNP
hair;4246;LO,NN
Jack;4238;TO,NNP
bitch;4223;LO,NNP,NN
luck;4220;LO,NN,NNP
murder;4216;LO,NN
happens;4204;LO,VBZ
air;4174;LF,NN,NNP
ten;4174;LF,JJ
daddy;4169;LO,NNP,NN
finally;4164;LO,RB
chuckles;4152;LO,NNS,NNP
fast;4130;LO,JJ,RB
cold;4128;LF,JJ,NNP
seem;4109;LO,VBP,VB
laughing;4103;LO,VBG,NNP
words;4095;LO,NNS
hospital;4088;LF,NN,NNP
Street;4085;TF,NNP,NN
hang;4076;LO,VB,NNP
dance;4058;LF,NN,NNP
meeting;4057;LO,NN,VBG
till;4045;LO,IN
others;4028;LO,NNS
catch;4027;LO,VB,NN
follow;4024;LO,VB,VBP
sense;4020;LO,NN
sex;4020;LO,NN
lie;3999;LO,NN,VBP,VB
evening;3973;LF,NN,NNP
master;3966;LF,NN,NNP
known;3965;LO,VBN
dream;3964;LF,NNP,NN
write;3959;LO,VB
million;3940;LO,JJ
voice;3923;LF,NN,NNP
sweet;3921;LF,JJ,NNP
rather;3921;LO,RB
felt;3911;LO,VBD
sign;3856;LO,NN,VB
lucky;3851;LO,NNP,JJ
somewhere;3846;LO,RB
bet;3817;LO,NNP,NN
