# EspanolWordsRaw.txt — Spanish word list. Source: hermitdave/FrequencyWords OpenSubtitles-2016 es_full
# (CC-BY-SA). Filtered to Spanish-alphabet words, source count >= 10 (drops typo tail); counts
# linearly scaled so top approx 1.2M. Fields: word;rawFreq
# 2026-07: purged ~17k English/foreign contamination entries (untranslated subtitle noise: English
# vocabulary with well-known Spanish equivalents, anglophone proper names, English-spelling exonyms).
# Kept: established loanwords/anglicisms, Spanish clitic forms, Spanish names/exonyms, scientific terms.
# 2026-07: mechanical noise pass (layout-analyzer tools/clean_espanol_corpus.py): removed 940 entries — multi-accent, qú, tripled letters, invalid ü, rare accent-typos of common words. See .removed.txt for the list.
# 2026-07: mechanical noise pass (layout-analyzer tools/clean_espanol_corpus.py): removed 63 entries — multi-accent, qú, tripled letters, invalid ü, rare accent-typos of common words. See .removed.txt for the list.
# 2026-08: case seeds (5th field lower:title, Vietnamese precedent) regenerated from Spanish
# Wikipedia (CC BY-SA 4.0, 2026-08 pages-articles dump, 34.2M extracted sentences),
# MID-SENTENCE capitalization (sentence-initial and post-.!?…:/quote/¿¡/dash tokens skipped).
# Register correction: subtitle rawFreq scaled by k=21.686 (median wiki/subtitle ratio, top-20
# words) to expected wiki count; missing wiki mass counts as lowercase (kills Notre-Dame-style
# collocation bias); title share >=90% trusted only when word attested >=5% of expected mass.
# Evidence thresholds scaled to corpus size (N>=855, T>=103 ~ Leipzig-run 25/3 per token).
asesino;4825
demás;4817
estaré;4798
frente;4779;;;3:1
armas;4752
control;4751
divertido;4734
acabo;4728
asunto;4726
decirle;4719
uh;4712
grupo;4712;;;3:1
encontrado;4709
recuerdas;4709
encima;4677
cállate;4674
amiga;4655
atención;4651
diferente;4620
mensaje;4591
sino;4584
sucede;4583
daño;4576
cambiar;4565
siguiente;4558
seas;4556
dejó;4553
boca;4542;;;3:1
error;4540
jamás;4518
largo;4509
baño;4496
mil;4494
médico;4494
pena;4476
decirte;4457
secreto;4454
sueño;4451
pensaba;4440
voz;4413
novia;4413
futuro;4409
propia;4404
siente;4382
haz;4362
estuve;4353
supone;4326
ésta;4315
deben;4308
encontré;4307
fuerza;4307;;;3:1
dile;4306
estábamos;4299
vuelto;4273
edad;4271;;;3:1
ambos;4263
cita;4259
aire;4256
darle;4249
dolor;4245
verlo;4232
pie;4226
campo;4225;;;3:1
negro;4218;;;3:1
adónde;4216
vio;4214
asesinato;4209
encanta;4208
disculpe;4196
mire;4193
sistema;4190
pobre;4188
tuyo;4179
gusto;4171
lamento;4160
estaría;4158
ganar;4158
fuiste;4150
mente;4148
llegado;4142
negocio;4136
asi;4118
ay;4090
alrededor;4083
tras;4082
situación;4070
foto;4060
pelo;4056
ocurre;4055
llamo;4055
mató;4054
loca;4051
quiera;4050
hotel;4048;;;3:1
sientes;4043
mitad;4033
próxima;4030
hablas;4025
vosotros;4025
funciona;4023
recuerda;4021
abogado;4019
pagar;4015
propio;4014
compañía;4008;;;3:1
personal;4006
terminado;4005
viste;3995
oficial;3982
cena;3981
conoce;3967
relación;3967
llegó;3962
tenías;3961
montón;3951
accidente;3950
mejores;3949
creí;3945
bonito;3943
pase;3934
través;3931
estúpido;3926
sentir;3918
ellas;3915
caballeros;3896
vive;3891
caja;3877
línea;3871
eras;3870
vista;3865
pudo;3860
tranquilo;3855
sol;3830;;;2:2
dan;3829;;;3:1
centro;3824;;;3:1
mes;3821
haremos;3821
comprar;3814
quédate;3807
totalmente;3797
tienda;3788
completamente;3777
mesa;3775;;;3:1
hambre;3768
david;3762;;;0:4
tonto;3757
gustan;3757
entendido;3746
respuesta;3744
novio;3733
carta;3718
muchachos;3715
salvo;3714
normal;3712
muchacho;3707
barco;3707
placer;3702
pude;3699
siete;3698
traje;3698
pruebas;3692
dirección;3690;;;3:1
imposible;3686
sean;3685
blanco;3673;;;3:1
dijeron;3670
quisiera;3647
acá;3627
profesor;3615
tendrá;3608
carrera;3591
servicio;3586;;;3:1
hermosa;3581
ley;3577;;;2:2
hubo;3574
programa;3570
dejado;3555
cumpleaños;3554
boda;3552
reunión;3543
universidad;3540;;;1:3
canción;3532
culo;3528
espere;3527
decirme;3512
tengas;3511
hacía;3510
cualquiera;3502
sala;3497;;;3:1
sal;3495
llevo;3491
interesante;3486
estés;3484
tendrás;3478
entra;3470
carajo;3459
suelo;3459
hicieron;3457
necesario;3453
horrible;3451
detective;3448
club;3438;;;2:2
siéntate;3433
maldición;3421
decisión;3419
escuchar;3414
embargo;3401
fotos;3400
intentando;3400
prisa;3395
abuela;3390
decía;3388
muerta;3384
silencio;3380
dulce;3374
gobierno;3370;;;3:1
salió;3368
avión;3363
llamó;3358
temo;3357
cárcel;3354
nave;3353
terrible;3347
media;3346;;;3:1
muertos;3340
vámonos;3339
amable;3334
cámara;3330;;;2:2
terminar;3325
regalo;3324
ocho;3311
pudiera;3308
prometo;3306
teniente;3306
broma;3298
negocios;3296
acabó;3296
partes;3295
gracioso;3291
papel;3288
navidad;3287;;;0:4
capaz;3281
das;3279
ataque;3273
querías;3267
diría;3256
deseo;3250
ten;3249
juro;3249
principio;3245
mantener;3235
don;3232;;;2:2
investigación;3230;;;3:1
delante;3210
vayas;3207
basura;3200
ejército;3199;;;2:2
esposo;3187
encontramos;3173
tren;3172
sale;3169
matrimonio;3164
alegro;3163
contacto;3162
alma;3160
dale;3160
hazlo;3155
junto;3152
verdadero;3150
maravilloso;3146
tendré;3145
disculpa;3134
vine;3132
permiso;3128
pies;3128
tuya;3125
saberlo;3113
maestro;3111;;;3:1
libertad;3110;;;3:1
encuentra;3108
miren;3105
derecha;3101
tipos;3099
tendremos;3098
mirando;3092
según;3089
oro;3086;;;3:1
espacio;3080
crimen;3080
ninguno;3078
baja;3077;;;3:1
aun;3077
