# TiengVietWordsRaw.txt — Vietnamese SYLLABLE list (spaces delimit syllables, not
# words). Sources: hermitdave/FrequencyWords OpenSubtitles-2018 vi (CC-BY-SA 4.0,
# primary counts, scaled so top ~1.2M) and Vietnamese Wikipedia (CC BY-SA 4.0,
# 2026-08 dump: tail-count fallback for syllables unattested in subtitles, and the
# mid-sentence capitalization evidence behind the optional 5th field). Filtered to
# the phonotactic syllable inventory; tone spelling normalized to the traditional
# (corpus-majority) style. All surfaces lowercase; the optional 5th field seeds the
# runtime case-preference counts (lower:title) from MID-SENTENCE capitalization, so
# names like đắk present as "Đắk" first while a user's own selections can still
# flip any preference. Fields: syllable;rawFreq[;;;L:T]
lạnh;6606;;;3:1
cực;6601;;;3:1
nhóm;6599
cuốn;6589
tỉnh;6569
thượng;6527;;;1:3
rơi;6498
chăm;6483;;;3:1
cộng;6478;;;2:2
mái;6459
giận;6436
kim;6422;;;2:2
bắc;6415;;;2:2
soát;6388
thủy;6382;;;3:1
miệng;6370
sản;6348
dữ;6346
ty;6334
ứng;6328
cung;6323;;;3:1
săn;6314
lệ;6307
phí;6301
trộm;6286
sửa;6284
lừa;6255
tăng;6232
cà;6221;;;3:1
vi;6211
túi;6208
mức;6200
đỏ;6193;;;3:1
thánh;6157;;;2:2
hưởng;6144
yếu;6139
dõi;6135
trại;6092
ích;6090
giây;6044
thở;6001
tí;5984
diện;5974
hầu;5928
biểu;5923
hồn;5921;;;3:1
tín;5904;;;3:1
cơn;5899
khai;5899
nỗi;5899
sâu;5898
phủ;5896
đảo;5896
vương;5894;;;2:2
xúc;5877
ác;5862
hậu;5852;;;3:1
tấm;5844
loạn;5834
nặng;5810
dĩ;5796;;;3:1
lớp;5796
bận;5790
kính;5781;;;3:1
lí;5751
phóng;5751
hùng;5744;;;3:1
lãnh;5734
sóc;5729;;;3:1
chữa;5726
rút;5721
đột;5719
cạnh;5714
á;5714
bom;5709
kỹ;5697
lộ;5694
chuyên;5687
khỉ;5683
huynh;5672;;;3:1
thề;5670
luyện;5668
chương;5663;;;3:1
đoạn;5648
khẩu;5628
giản;5621
ở;5619
mùi;5603;;;3:1
sạch;5577
đón;5557
tồi;5555
sang;5552
xếp;5549
ánh;5545;;;3:1
quán;5528;;;3:1
lá;5518
ngạc;5501;;;3:1
thăm;5501
chim;5473
giấu;5466
nha;5464;;;0:4
lành;5463;;;3:1
tường;5449;;;3:1
quản;5444
hỏng;5432
vực;5407
phong;5402;;;3:1
loài;5400
tầm;5397
não;5360
thuê;5346
hộp;5345
tôn;5324;;;3:1
ngừng;5323
thừa;5301;;;3:1
tắt;5289
dọn;5287
ê;5287
tắm;5285
ấn;5280;;;1:3
nội;5269;;;2:2
nhắn;5267
dựng;5253
xanh;5238
nguyện;5230
diệt;5220
siêu;5199;;;3:1
lặng;5198
mùa;5186
nợ;5186
đập;5162
mắc;5151
ô;5147
sân;5132;;;3:1
hạn;5129
chà;5120;;;3:1
trực;5120
tầng;5119
kiện;5115
úy;5110
sót;5097
quà;5093
muộn;5092
bạc;5090;;;3:1
đài;5085;;;2:2
khắp;5070
đống;5041;;;3:1
hút;5011
chặn;5006
giường;4995
giám;4994;;;3:1
lưu;4987;;;3:1
can;4985;;;3:1
say;4984;;;3:1
dọa;4943
núi;4938
hảo;4931;;;3:1
nắm;4923
đích;4918
cục;4909;;;2:2
chạm;4894
trấn;4881
xinh;4839
tồn;4837
nguồn;4833
hữu;4828;;;3:1
in;4817
chụp;4815
du;4810;;;3:1
tàn;4800
dính;4785
đói;4774
ném;4758
tờ;4747
chìa;4742
phê;4741
khoa;4737
khóc;4737
so;4734
thua;4719
truy;4719
nhầm;4714
giấc;4710
xây;4705
bang;4692
đẩy;4692
ngân;4690;;;3:1
chặt;4678
khổ;4663
nuôi;4661
hiệp;4658;;;2:2
ẩn;4650
đèn;4643
dục;4629
rừng;4626
bốn;4618
chán;4616
kêu;4597
nghệ;4596;;;3:1
áp;4589
trễ;4587
